studytime,failures,absences,G1,G2,percentage,risk_label
2,0,6,5,6,30.0,0
2,0,4,5,5,30.0,0
2,3,10,7,8,50.0,1
3,0,2,15,14,75.0,2
2,0,4,6,10,50.0,1
2,0,10,15,15,75.0,2
2,0,0,12,12,55.00000000000001,1
2,0,6,6,5,30.0,0
2,0,0,16,18,95.0,2
2,0,0,14,15,75.0,2
2,0,0,10,8,45.0,1
3,0,4,10,12,60.0,1
1,0,2,14,14,70.0,2
2,0,2,10,10,55.00000000000001,1
3,0,0,14,16,80.0,2
1,0,4,14,14,70.0,2
3,0,6,13,14,70.0,2
2,0,4,8,10,50.0,1
1,3,16,6,5,25.0,0
1,0,4,8,10,50.0,1
2,0,0,13,14,75.0,2
1,0,0,12,15,75.0,2
2,0,2,15,15,80.0,2
2,0,0,13,13,60.0,1
3,0,2,10,9,40.0,1
1,2,14,6,9,40.0,1
1,0,2,12,12,55.00000000000001,1
1,0,4,15,16,75.0,2
2,0,4,11,11,55.00000000000001,1
2,0,16,10,12,55.00000000000001,1
2,0,0,9,11,60.0,1
2,0,0,17,16,85.0,2
2,0,0,17,16,80.0,2
2,0,0,8,10,60.0,1
1,0,0,12,14,75.0,2
1,0,0,8,7,30.0,0
3,0,2,15,16,90.0,2
3,0,7,15,16,75.0,2
3,0,2,12,12,55.00000000000001,1
1,0,8,14,13,65.0,1
2,1,25,7,10,55.00000000000001,1
1,0,8,12,12,60.0,1
2,0,2,19,18,90.0,2
1,0,0,8,8,55.00000000000001,1
2,1,14,10,10,45.0,1
2,0,8,8,8,30.0,0
2,0,12,11,12,55.00000000000001,1
4,0,4,19,19,100.0,2
2,0,2,15,15,70.0,2
2,1,2,7,7,35.0,0
2,0,2,12,13,65.0,1
2,0,2,11,13,65.0,1
1,1,6,11,11,50.0,1
1,0,0,8,10,55.00000000000001,1
1,0,6,10,13,65.0,1
2,0,8,8,9,50.0,1
2,0,0,14,15,75.0,2
2,0,4,14,15,75.0,2
2,0,2,9,10,45.0,1
2,0,2,15,16,80.0,2
2,0,6,10,11,55.00000000000001,1
1,0,6,10,8,55.00000000000001,1
2,0,4,8,10,45.0,1
3,0,2,10,9,45.0,1
2,0,0,10,10,50.0,1
2,0,2,16,15,75.0,2
4,0,4,13,13,60.0,1
4,0,4,7,7,30.0,0
2,0,2,8,9,40.0,1
4,0,12,16,16,80.0,2
4,0,0,13,15,75.0,2
4,0,0,10,10,50.0,1
2,2,2,8,6,25.0,0
1,0,2,12,12,70.0,2
2,0,54,11,12,55.00000000000001,1
2,0,6,9,9,50.0,1
4,0,8,11,11,50.0,1
4,0,0,11,11,55.00000000000001,1
1,3,2,8,8,50.0,1
2,0,12,5,5,25.0,0
1,0,2,10,12,60.0,1
3,0,4,11,10,55.00000000000001,1
2,0,10,7,6,30.0,0
2,0,4,15,15,75.0,2
2,0,2,9,10,50.0,1
2,2,6,7,9,40.0,1
2,0,4,8,7,30.0,0
3,0,4,13,14,70.0,2
2,1,12,11,10,50.0,1
2,0,18,8,6,35.0,0
3,0,0,7,7,40.0,1
1,0,4,16,17,90.0,2
2,0,4,7,6,30.0,0
2,0,0,11,10,50.0,1
4,0,6,11,13,70.0,2
4,1,2,7,10,50.0,1
1,0,2,11,15,75.0,2
2,0,2,8,9,50.0,1
1,0,6,11,14,70.0,2
3,0,0,7,9,40.0,1
1,0,14,7,7,25.0,0
3,0,0,16,17,85.0,2
1,0,4,10,13,70.0,2
2,0,26,7,6,30.0,0
2,0,0,16,18,90.0,2
4,0,10,10,11,55.00000000000001,1
4,0,8,7,8,40.0,1
3,0,2,16,18,90.0,2
4,0,6,10,13,65.0,1
3,0,4,14,15,80.0,2
1,0,6,18,19,95.0,2
3,1,0,7,10,50.0,1
2,1,6,10,13,65.0,1
1,0,10,18,19,95.0,2
2,0,8,9,9,45.0,1
2,0,2,15,15,80.0,2
2,0,2,11,13,70.0,2
1,0,0,13,14,65.0,1
2,1,20,9,7,40.0,1
1,0,6,14,13,65.0,1
2,0,2,16,15,75.0,2
4,0,6,16,14,75.0,2
2,0,2,13,13,65.0,1
1,0,18,14,11,65.0,1
2,0,0,8,7,40.0,1
1,0,0,13,13,60.0,1
2,0,0,7,10,55.00000000000001,1
2,3,2,7,8,45.0,1
1,2,0,7,4,0.0,0
